Observation ID,Target name,Target Desc.,RA,Dec,Instrument,Obs. Mode,Proposal,PI Name,Proc. Level,Start Time,Duration (s),Filter,Detector
jw02177-o001_t001_miri_ch1-long,CID346,SREGION=POLYGON ICRS  149.930052028 2.117947439 149.930052028 2.119536328 149.931714277 2.119536328 149.931714277 2.117947439|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Quasars|TARGNAME=CID346,149.93088315268497,2.1187418835908147,MIRI/IFU,MIR_MRS,2177,"Mainieri, Vincenzo",3,60268.03859829028,11084.924,CH1-LONG,MIRIFUSHORT
jw05491-c1005_t001_miri_ch1-long,J0134-0931,SREGION=POLYGON ICRS  23.647771019 -9.518279675 23.647771019 -9.516690786 23.649455318 -9.516690786 23.649455318 -9.518279675|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Quasars|TARGNAME=J0134-0931,23.648613169280104,-9.517485230837963,MIRI/IFU,MIR_MRS,5491,"Kulkarni, Varsha Purushottam",3,60638.393525949075,3019.244,CH1-LONG,MIRIFUSHORT
jw03428-o026_t026_nirspec_g235h-f170lp,J134243.46+583850.0,SREGION=POLYGON ICRS  205.680099377 58.646663936 205.680099377 58.647830602 205.682128133 58.647830602 205.682128133 58.646663936|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,205.6811137568347,58.64724726934861,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60383.86623244213,875.332,F170LP;G235H,MULTIPLE
jw03428020001_02101_00002_nrs2,J110247.29+663519.6,SREGION=POLYGON ICRS  165.695345002 66.588090532 165.695345002 66.589423866 165.698700842 66.589423866 165.698700842 66.588090532|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,165.69702291783216,66.588757201599,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",1,60383.71016,218.833,F170LP;G235H,NRS2
jw06350-o013_t013_miri_ch1-long,J1351+4747,SREGION=POLYGON ICRS  207.846634448 47.785847909 207.846634448 47.787581242 207.848999284 47.787581242 207.848999284 47.785847909|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=J1351+4747,207.84781686839705,47.78671457612443,MIRI/IFU,MIR_MRS,6350,"Kulkarni, Varsha Purushottam",3,60764.01756618009,2231.132,CH1-LONG,MIRIFUSHORT
jw07492005001_xx102_00001_miri,BQ_J1421+2241,SREGION=POLYGON ICRS 215.28531718147 22.6881765201 215.28532981913 22.68831929496 215.28674729809 22.68821153233 215.2867343514 22.68806903206|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,215.2860319561398,22.68819411496614,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,13.875,F1500W,
jw03428-o010_t010_nirspec_g235h-f170lp,J094108.35+594725.7,SREGION=POLYGON ICRS  145.283598048 59.789931496 145.283598048 59.791042607 145.286027164 59.791042607 145.286027164 59.789931496|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,145.2848126059813,59.790487054008004,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60388.84482859954,875.332,F170LP;G235H,MULTIPLE
jw03428-o008_t008_nirspec_g235h-f170lp,J085931.29+252019.5,SREGION=POLYGON ICRS  134.879647037 25.338131173 134.879647037 25.339408951 134.881122308 25.339408951 134.881122308 25.338131173|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,134.88038467328818,25.33877006301826,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60425.34748795139,875.332,F170LP;G235H,MULTIPLE
jw03428-o009_t009_nirspec_g235h-f170lp,J083122.57+404623.3,SREGION=POLYGON ICRS  127.843258393 40.772635394 127.843258393 40.773690949 127.844872325 40.773690949 127.844872325 40.772635394|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,127.84406536095744,40.773163174159095,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60377.24051293982,875.332,F170LP;G235H,MULTIPLE
jw07492003001_xx102_00001_miri,BQ_J0149+1501,SREGION=POLYGON ICRS 27.43419812418 15.01852929898 27.43421019662 15.01867207382 27.43556423869 15.01856431031 27.43555187155 15.01842181003|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,27.434880909618947,15.018546892899153,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,13.875,F1500W,
