Observation ID,Target name,Target Desc.,RA,Dec,Instrument,Obs. Mode,Proposal,PI Name,Proc. Level,Start Time,Duration (s),Filter,Detector
jw02177-o001_t001_miri_ch1-long,CID346,SREGION=POLYGON ICRS  149.930052028 2.117947439 149.930052028 2.119536328 149.931714277 2.119536328 149.931714277 2.117947439|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Quasars|TARGNAME=CID346,149.93088315268497,2.1187418835908147,MIRI/IFU,MIR_MRS,2177,"Mainieri, Vincenzo",3,60268.03859829028,11084.924,CH1-LONG,MIRIFUSHORT
jw03428-o025_t025_nirspec_g235h-f170lp,J132825.16+444500.2,SREGION=POLYGON ICRS  202.104125247 44.749489299 202.104125247 44.750655966 202.105611573 44.750655966 202.105611573 44.749489299|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,202.1048684093996,44.75007263306921,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60377.015597604164,875.332,F170LP;G235H,MULTIPLE
jw03428-o005_t005_nirspec_g235h-f170lp,J075907.57+180054.7,SREGION=POLYGON ICRS  119.780846628 18.014524572 119.780846628 18.015857906 119.782307123 18.015857906 119.782307123 18.014524572|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,119.78157687478841,18.015191239162064,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60398.80656557871,875.332,F170LP;G235H,MULTIPLE
jw02457052001_03102_00006_nrs1,SDSS-J083200.20+161500.3,SREGION=POLYGON ICRS  128.000175694 16.249496526 128.000175694 16.250718748 128.001564515 16.250718748 128.001564515 16.249496526|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J083200.20+161500.3,128.0008701046853,16.250107637560916,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",2,59922.35978313658,729.444,F170LP;G235H,NRS1
jw02457-o005_t005_nirspec_g235h-f170lp,SDSS-J121704.70+023417.1,SREGION=POLYGON ICRS  184.268901474 2.570796636 184.268901474 2.572074414 184.270291763 2.572074414 184.270291763 2.570796636|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J121704.70+023417.1,184.26959661910308,2.5714355250803465,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",3,60116.784610532406,14588.879999999997,F170LP;G235H,MULTIPLE
jw02046-o017_t016_miri_f560w-brightsky,H1413+117,SREGION=POLYGON ICRS  213.928754716 11.491810038 213.945783134 11.481748581 213.956489163 11.499147208 213.939460076 11.509209286|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Quasars,213.94262175901156,11.495478950587653,MIRI/IMAGE,MIR_IMAGE,2046,"Nierenberg, Anna",3,60132.75779105324,59.703,F560W,MIRIMAGE
jw01220002001_03101_00004_nrs2,LBQS0302-0019+JIL,SREGION=POLYGON ICRS  46.207370676 -0.137693061 46.207370676 -0.136359727 46.208648457 -0.136359727 46.208648457 -0.137693061|TARGCAT=Galaxy|TARGDESC=High-redshift galaxies; Quasar-galaxy pairs; Quasars|TARGET_DESCRIP=Galaxy; High-redshift galaxies; Quasar-galaxy pairs; Quasars,46.20800956330141,-0.13702639399038605,NIRSPEC/IFU,NRS_IFU,1220,"Luetzgendorf, Nora",2,59801.96109597222,875.333,F170LP;G235H,NRS2
jw02457-o054_t004_nirspec_g235h-f170lp,SDSS-J123241.73+091209.3,SREGION=POLYGON ICRS  188.173204404 9.201971334 188.173204404 9.203249112 188.174611404 9.203249112 188.174611404 9.201971334|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J123241.73+091209.3,188.17390790345843,9.202610223309378,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",3,60481.65025417824,16047.767999999996,F170LP;G235H,MULTIPLE
jw02057004001_03101_00002_nrs2,RM052,SREGION=POLYGON ICRS  213.209317703 53.289205444 213.209299456 53.288316707 213.210738563 53.288316340 213.210757122 53.289205214|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,213.21002823021232,53.288760942629686,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",1,60026.68690930556,598.144,F100LP;G140M,NRS2
jw01220002001_03101_00004_nrs2,LBQS0302-0019+JIL,SREGION=POLYGON ICRS  46.207370676 -0.137693061 46.207370676 -0.136359727 46.208648457 -0.136359727 46.208648457 -0.137693061|TARGCAT=Galaxy|TARGDESC=High-redshift galaxies; Quasar-galaxy pairs; Quasars|TARGET_DESCRIP=Galaxy; High-redshift galaxies; Quasar-galaxy pairs; Quasars,46.20800956330141,-0.13702639399038605,NIRSPEC/IFU,NRS_IFU,1220,"Luetzgendorf, Nora",1,59801.96109597222,875.333,F170LP;G235H,NRS2
